Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	type	Term
INTERPRO	12	2.536997886	1.47E-10	177054, 171743, 175083, 171888, 176292, 176061, 172414, 190611, 179855, 178469, 179897, 172361	430	28	14805	14.75581395	1.59E-07	1.99E-08	1.94E-08	P	RNA-helicase_DEAD-box_CS
INTERPRO	25	5.285412262	7.74E-10	266878, 177084, 171716, 24104280, 173779, 172329, 172622, 174322, 175699, 177533, 179237, 177397, 180100, 175094, 174017, 172697, 175549, 177942, 179526, 175960, 175346, 174350, 174373, 174197, 174572	430	185	14805	4.652734129	8.40E-07	9.33E-08	9.11E-08	P	ARM-type_fold
INTERPRO	11	2.325581395	2.04E-09	177054, 171743, 174418, 175083, 171888, 176061, 172414, 190611, 173432, 172223, 172361	430	27	14805	14.02713178	2.22E-06	2.22E-07	2.16E-07	P	RNA_helicase_DEAD_Q_motif
INTERPRO	16	3.382663848	8.85E-08	179233, 178055, 178066, 179264, 179341, 179260, 178050, 191671, 191680, 188792, 191667, 177522, 191677, 175027, 175032, 179267	430	95	14805	5.79877601	9.61E-05	8.74E-06	8.53E-06	P	Histone-fold
INTERPRO	18	3.805496829	1.68E-07	180100, 175094, 266878, 182490, 24104280, 173779, 172329, 174017, 172622, 175549, 179526, 175699, 177533, 175346, 174350, 174373, 174197, 174572	430	128	14805	4.841751453	1.82E-04	1.52E-05	1.48E-05	P	ARM-like
INTERPRO	14	2.959830867	4.86E-06	175680, 181545, 172070, 173807, 174901, 176806, 172858, 176927, 174458, 178866, 175643, 179413, 174980, 172242	430	98	14805	4.918604651	0.005260304	4.06E-04	3.96E-04	P	WH_DNA-bd_sf
INTERPRO	7	1.479915433	1.13E-05	172858, 176927, 176834, 24104220, 176094, 177236, 173807	430	19	14805	12.68482252	0.012148005	8.73E-04	8.52E-04	P	PCI_dom
INTERPRO	14	2.959830867	5.29E-05	178053, 177182, 179371, 177392, 172070, 24104386, 174909, 171627, 172617, 173967, 172920, 180748, 172244, 173086	430	122	14805	3.951010294	0.055858155	0.003831823	0.003740085	P	Nucleotide-bd_a/b_plait_sf
INTERPRO	6	1.268498943	1.25E-04	174072, 178483, 173204, 176668, 179639, 173158	430	18	14805	11.47674419	0.127074228	0.008493516	0.008290172	P	Sm
INTERPRO	13	2.748414376	1.47E-04	175680, 181545, 172070, 173807, 174901, 176806, 176927, 174458, 178866, 175643, 179413, 174980, 172242	430	117	14805	3.825581395	0.148019759	0.009296395	0.009073829	P	WH-like_DNA-bd_sf
INTERPRO	7	1.479915433	1.54E-04	177042, 174534, 172532, 172786, 175898, 172330, 180183	430	29	14805	8.31074579	0.154094812	0.009296395	0.009073829	P	KH_dom
INTERPRO	6	1.268498943	1.66E-04	174072, 178483, 173204, 176668, 179639, 173158	430	19	14805	10.87270502	0.164796973	0.009477132	0.009250239	P	LSM_dom_sf
INTERPRO	5	1.057082452	1.95E-04	180343, 177481, 176015, 174379, 172818	430	11	14805	15.65010571	0.190988698	0.010596086	0.010342404	P	Rib_uL2_dom2
INTERPRO	13	2.748414376	2.19E-04	178053, 177182, 179371, 177392, 172070, 24104386, 174909, 171627, 173967, 259329, 172920, 172244, 173086	430	122	14805	3.668795273	0.211999448	0.011344303	0.011072708	P	RBD_domain_sf
INTERPRO	4	0.845665962	2.31E-04	176858, 180748, 172617, 176891	430	5	14805	27.54418605	0.22218361	0.011419805	0.011146403	P	Ribosomal_uL23/eL15/eS24_sf
INTERPRO	5	1.057082452	2.86E-04	180343, 176015, 174379, 171750, 172818	430	12	14805	14.34593023	0.267046339	0.013505581	0.013182243	P	Translation_prot_SH3-like_sf
INTERPRO	7	1.479915433	3.86E-04	177042, 174534, 172532, 172786, 175898, 172330, 180183	430	34	14805	7.088577291	0.342454557	0.01746502	0.017046889	P	KH_dom_type_1_sf
INTERPRO	6	1.268498943	6.56E-04	177848, 175851, 179537, 175501, 171792, 174166	430	25	14805	8.263255814	0.509875561	0.028514476	0.027831809	P	Transl_B-barrel_sf
INTERPRO	11	2.325581395	9.32E-04	173967, 178053, 177182, 177392, 172070, 172920, 24104386, 174909, 171627, 172244, 173086	430	105	14805	3.606976744	0.636863002	0.038942416	0.038010093	P	RRM_dom
INTERPRO	6	1.268498943	0.001130505	174836, 172538, 177703, 174504, 175434, 179224	430	28	14805	7.377906977	0.7072461	0.045471424	0.04438279	P	Znf_CCCH_sf
INTERPRO	6	1.268498943	0.001333926	177042, 172532, 172786, 175898, 172330, 180183	430	29	14805	7.123496391	0.765338396	0.051737276	0.050498631	P	KH_dom_type_1
INTERPRO	5	1.057082452	0.001540216	174072, 178483, 173204, 176668, 179639	430	18	14805	9.563953488	0.812497692	0.057678436	0.056297553	P	Sm_dom_euk/arc
INTERPRO	4	0.845665962	0.002490706	174017, 174197, 174373, 174572	430	10	14805	13.77209302	0.933348739	0.090163572	0.088004959	P	PUM-HD
INTERPRO	5	1.057082452	0.002812467	174932, 172152, 172463, 176138, 178106	430	21	14805	8.197674419	0.953048607	0.098527072	0.096168229	P	PAZ_dom
INTERPRO	4	0.845665962	0.003351544	174017, 174197, 174373, 174572	430	11	14805	12.52008457	0.973901822	0.113743022	0.111019892	P	Pumilio_RNA-bd_rpt
INTERPRO	8	1.691331924	0.003752314	180343, 175748, 178188, 174690, 176516, 175110, 175906, 172211	430	69	14805	3.991911021	0.983137753	0.122194866	0.119269391	P	NA-bd_OB-fold
INTERPRO	10	2.114164905	0.003882109	173625, 178053, 176379, 179810, 178007, 171970, 175906, 180371, 175189, 175871	430	107	14805	3.217778744	0.985362596	0.122194866	0.119269391	P	TPR-like_helical_dom_sf
INTERPRO	5	1.057082452	0.003975319	174932, 172152, 172463, 176138, 178106	430	23	14805	7.484833165	0.986777031	0.122194866	0.119269391	P	PAZ_dom_sf
INTERPRO	6	1.268498943	0.004050659	174836, 172538, 177703, 174504, 175434, 179224	430	37	14805	5.583280955	0.987819863	0.122194866	0.119269391	P	Znf_CCCH
INTERPRO	3	0.634249471	0.004835254	172624, 174329, 171749	430	4	14805	25.82267442	0.994824516	0.141921246	0.1385235	P	G_CP_dom
INTERPRO	4	0.845665962	0.006931164	172624, 174329, 171749, 176563	430	14	14805	9.837209302	0.999475702	0.198085359	0.193342984	P	GTP-bd
INTERPRO	3	0.634249471	0.00790453	174690, 176516, 172211	430	5	14805	20.65813953	0.999819256	0.214607993	0.209470048	P	CSD
INTERPRO	3	0.634249471	0.00790453	174690, 176516, 172211	430	5	14805	20.65813953	0.999819256	0.214607993	0.209470048	P	CSP_DNA-bd
INTERPRO	4	0.845665962	0.012141885	174836, 177703, 174504, 179224	430	17	14805	8.10123119	0.999998269	0.313954453	0.306438048	P	ZFP36-like
INTERPRO	4	0.845665962	0.012141885	175707, 177707, 172414, 172361	430	17	14805	8.10123119	0.999998269	0.313954453	0.306438048	P	Znf_CCHC_sf
INTERPRO	3	0.634249471	0.015972513	178053, 171970, 175906	430	7	14805	14.75581395	0.999999975	0.40339882	0.393741021	P	HAT
INTERPRO	4	0.845665962	0.016578874	174329, 175851, 179537, 171792	430	19	14805	7.248470012	0.999999987	0.409196746	0.399400139	P	T_Tr_GTP-bd_dom
INTERPRO	4	0.845665962	0.019093479	174932, 172152, 172463, 178106	430	20	14805	6.886046512	0.999999999	0.460789286	0.449757498	P	Piwi
INTERPRO	3	0.634249471	0.020892098	176153, 173744, 172009	430	8	14805	12.91133721	1	0.482740825	0.471183494	P	JAMM/MPN+_dom
INTERPRO	3	0.634249471	0.020892098	181545, 178866, 172242	430	8	14805	12.91133721	1	0.482740825	0.471183494	P	H1/H5
INTERPRO	7	1.479915433	0.021459256	176153, 173368, 174822, 174932, 172152, 172463, 178106	430	75	14805	3.213488372	1	0.48551567	0.473891907	P	RNaseH-like_sf
INTERPRO	5	1.057082452	0.023598572	178020, 177858, 173414, 183168, 176773	430	38	14805	4.530293758	1	0.512560985	0.500289728	P	Mt_carrier_dom_sf
INTERPRO	5	1.057082452	0.023598572	178020, 177858, 173414, 183168, 176773	430	38	14805	4.530293758	1	0.512560985	0.500289728	P	Mitochondrial_sb/sol_carrier
INTERPRO	3	0.634249471	0.026352235	181545, 178866, 172242	430	9	14805	11.47674419	1	0.539972216	0.527044704	P	Histone_H1/H5_H15
INTERPRO	3	0.634249471	0.026352235	172338, 172735, 175707	430	9	14805	11.47674419	1	0.539972216	0.527044704	P	PAP_assoc
INTERPRO	3	0.634249471	0.026352235	176806, 176841, 179413	430	9	14805	11.47674419	1	0.539972216	0.527044704	P	Cullin_repeat-like_dom_sf
INTERPRO	6	1.268498943	0.029626948	173368, 174822, 174932, 172152, 172463, 178106	430	60	14805	3.443023256	1	0.595830853	0.581566026	P	RNaseH_sf
INTERPRO	3	0.634249471	0.038754523	175898, 172783, 178599	430	11	14805	9.390063425	1	0.738375642	0.72069814	P	Tudor
INTERPRO	3	0.634249471	0.038754523	176153, 173744, 172009	430	11	14805	9.390063425	1	0.738375642	0.72069814	P	MPN
INTERPRO	3	0.634249471	0.038754523	174417, 176438, 176138	430	11	14805	9.390063425	1	0.738375642	0.72069814	P	dsRBD_dom
INTERPRO	3	0.634249471	0.045630751	175851, 179537, 171792	430	12	14805	8.60755814	1	0.747320377	0.729428729	P	EFTu-like_2
INTERPRO	3	0.634249471	0.045630751	266646, 173389, 179884	430	12	14805	8.60755814	1	0.747320377	0.729428729	P	Aminotransferase_I/II
INTERPRO	3	0.634249471	0.052915564	173967, 172920, 174909	430	13	14805	7.945438283	1	0.747320377	0.729428729	P	RRM_dom_euk
INTERPRO	2	0.422832981	0.057115646	177092, 176149	430	2	14805	34.43023256	1	0.747320377	0.729428729	P	GH15-like
INTERPRO	2	0.422832981	0.057115646	173232, 177503	430	2	14805	34.43023256	1	0.747320377	0.729428729	P	Ribosomal_Se8/biogenesis_NSA2
INTERPRO	2	0.422832981	0.057115646	174127, 174126	430	2	14805	34.43023256	1	0.747320377	0.729428729	P	FA_transporter
INTERPRO	2	0.422832981	0.057115646	172329, 177533	430	2	14805	34.43023256	1	0.747320377	0.729428729	P	Importin_alpha
INTERPRO	2	0.422832981	0.057115646	172653, 173158	430	2	14805	34.43023256	1	0.747320377	0.729428729	P	Lsm14-like_N
INTERPRO	2	0.422832981	0.057115646	180535, 178778	430	2	14805	34.43023256	1	0.747320377	0.729428729	P	Ribosomal_uL5_N
INTERPRO	2	0.422832981	0.057115646	172028, 176504	430	2	14805	34.43023256	1	0.747320377	0.729428729	P	PUA_sf
INTERPRO	2	0.422832981	0.057115646	266646, 179884	430	2	14805	34.43023256	1	0.747320377	0.729428729	P	Aminotrans_II_pyridoxalP_BS
INTERPRO	2	0.422832981	0.057115646	172653, 173158	430	2	14805	34.43023256	1	0.747320377	0.729428729	P	DFDF
INTERPRO	2	0.422832981	0.057115646	180535, 178778	430	2	14805	34.43023256	1	0.747320377	0.729428729	P	Ribosomal_uL5_dom_sf
INTERPRO	2	0.422832981	0.057115646	180535, 178778	430	2	14805	34.43023256	1	0.747320377	0.729428729	P	Ribosomal_uL5_C
INTERPRO	2	0.422832981	0.057115646	180100, 179526	430	2	14805	34.43023256	1	0.747320377	0.729428729	P	PP2A_B56
INTERPRO	2	0.422832981	0.057115646	180748, 172617	430	2	14805	34.43023256	1	0.747320377	0.729428729	P	Ribosomal_uL23_N
INTERPRO	2	0.422832981	0.057115646	177092, 176149	430	2	14805	34.43023256	1	0.747320377	0.729428729	P	PHK_A/B_su
INTERPRO	2	0.422832981	0.057115646	172062, 172815	430	2	14805	34.43023256	1	0.747320377	0.729428729	P	L24e/L24_sf
INTERPRO	2	0.422832981	0.057115646	173193, 173194	430	2	14805	34.43023256	1	0.747320377	0.729428729	P	UPF0561
INTERPRO	2	0.422832981	0.057115646	176927, 173807	430	2	14805	34.43023256	1	0.747320377	0.729428729	P	PSMD12/CSN4
INTERPRO	2	0.422832981	0.057115646	172329, 177533	430	2	14805	34.43023256	1	0.747320377	0.729428729	P	Importin-a_IBB_sf
INTERPRO	2	0.422832981	0.057115646	172062, 172815	430	2	14805	34.43023256	1	0.747320377	0.729428729	P	Ribosomal_eL24-rel
INTERPRO	2	0.422832981	0.057115646	180535, 178778	430	2	14805	34.43023256	1	0.747320377	0.729428729	P	Ribosomal_uL5_CS
INTERPRO	2	0.422832981	0.057115646	177092, 176149	430	2	14805	34.43023256	1	0.747320377	0.729428729	P	KPBA/B_C
INTERPRO	2	0.422832981	0.057115646	180748, 172617	430	2	14805	34.43023256	1	0.747320377	0.729428729	P	Ribosomal_uL23_CS
INTERPRO	2	0.422832981	0.057115646	180535, 178778	430	2	14805	34.43023256	1	0.747320377	0.729428729	P	Ribosomal_uL5
INTERPRO	3	0.634249471	0.068594969	177707, 172414, 172361	430	15	14805	6.886046512	1	0.886834954	0.865603178	P	Znf_CCHC
INTERPRO	2	0.422832981	0.084441011	172624, 174329	430	3	14805	22.95348837	1	0.955238942	0.932369502	P	GTP-bd_ortho_bundle_sf
INTERPRO	2	0.422832981	0.084441011	174072, 178483	430	3	14805	22.95348837	1	0.955238942	0.932369502	P	LSm4/Sm_D1/D3
INTERPRO	2	0.422832981	0.084441011	178342, 171767	430	3	14805	22.95348837	1	0.955238942	0.932369502	P	Ribosomal_uL15/eL18_sf
INTERPRO	2	0.422832981	0.084441011	171888, 190611	430	3	14805	22.95348837	1	0.955238942	0.932369502	P	Ded1/Dbp1_DEADc
INTERPRO	2	0.422832981	0.084441011	175680, 172070	430	3	14805	22.95348837	1	0.955238942	0.932369502	P	La_HTH
INTERPRO	2	0.422832981	0.084441011	174690, 172211	430	3	14805	22.95348837	1	0.955238942	0.932369502	P	CSD_1
INTERPRO	2	0.422832981	0.084441011	175680, 172070	430	3	14805	22.95348837	1	0.955238942	0.932369502	P	La_dom_prot
INTERPRO	2	0.422832981	0.084441011	175902, 172615	430	3	14805	22.95348837	1	0.955238942	0.932369502	P	R3H_dom
INTERPRO	2	0.422832981	0.084441011	180748, 172617	430	3	14805	22.95348837	1	0.955238942	0.932369502	P	Ribosomal_uL23-like
INTERPRO	2	0.422832981	0.084441011	172028, 176504	430	3	14805	22.95348837	1	0.955238942	0.932369502	P	PUA
INTERPRO	2	0.422832981	0.084441011	172329, 177533	430	3	14805	22.95348837	1	0.955238942	0.932369502	P	Arm_3
INTERPRO	2	0.422832981	0.084441011	178342, 171767	430	3	14805	22.95348837	1	0.955238942	0.932369502	P	Ribosomal_uL15/eL18
INTERPRO	4	9.523809524	0.002441725	177880, 177979, 179070, 181473	39	105	14805	14.46153846	0.312051083	0.190338861	0.190338861	PM	RRM_dom
INTERPRO	4	9.523809524	0.003732135	177880, 177979, 179070, 181473	39	122	14805	12.44640605	0.435652338	0.190338861	0.190338861	PM	Nucleotide-bd_a/b_plait_sf
INTERPRO	4	9.523809524	0.003732135	177880, 177979, 179070, 181473	39	122	14805	12.44640605	0.435652338	0.190338861	0.190338861	PM	RBD_domain_sf
INTERPRO	2	4.761904762	0.069493097	177979, 179183	39	28	14805	27.11538462	0.999983628	1	1	PM	Znf_CCCH_sf
INTERPRO	2	4.761904762	0.071885955	171607, 175595	39	29	14805	26.18037135	0.999988959	1	1	PM	KH_dom
INTERPRO	2	4.761904762	0.071885955	171607, 175595	39	29	14805	26.18037135	0.999988959	1	1	PM	KH_dom_type_1
INTERPRO	2	4.761904762	0.083760659	171607, 175595	39	34	14805	22.33031674	0.999998461	1	1	PM	KH_dom_type_1_sf
INTERPRO	2	4.761904762	0.090814334	177979, 179183	39	37	14805	20.51975052	0.999999528	1	1	PM	Znf_CCCH
INTERPRO	3	5	4.00E-04	176195, 174805, 174806	46	10	14805	96.55434783	0.060921286	0.022953564	0.022222559	PZ	Heat_shock_70_CS
INTERPRO	3	5	4.00E-04	176195, 174805, 174806	46	10	14805	96.55434783	0.060921286	0.022953564	0.022222559	PZ	HSP70_C_sf
INTERPRO	3	5	4.88E-04	176195, 174805, 174806	46	11	14805	87.77667984	0.073812704	0.022953564	0.022222559	PZ	HSP70_peptide-bd_sf
INTERPRO	3	5	5.85E-04	176195, 174805, 174806	46	12	14805	80.46195652	0.087749918	0.022953564	0.022222559	PZ	Hsp_70_fam
INTERPRO	5	8.333333333	0.001808204	176114, 175069, 190203, 179445, 178346	46	172	14805	9.356041456	0.247342534	0.056777615	0.054969411	PZ	WD40/YVTN_repeat-like_dom_sf
INTERPRO	7	11.66666667	0.004387043	171941, 172116, 178054, 175403, 175117, 175603, 177474	46	514	14805	4.3831416	0.498564845	0.114794288	0.111138419	PZ	P-loop_NTPase
INTERPRO	3	5	0.005623211	176195, 174805, 174806	46	37	14805	26.09576968	0.587424327	0.126120584	0.122104005	PZ	ATPase_NBD
INTERPRO	4	6.666666667	0.007174174	175069, 190203, 179445, 178346	46	130	14805	9.903010033	0.677097573	0.14079317	0.136309311	PZ	WD40_rpt
INTERPRO	3	5	0.010877509	190203, 179445, 178346	46	52	14805	18.56814381	0.8204183	0.172485394	0.166992228	PZ	WD40_repeat_CS
INTERPRO	4	6.666666667	0.010986331	175069, 190203, 179445, 178346	46	152	14805	8.469679634	0.823493719	0.172485394	0.166992228	PZ	WD40_repeat_dom_sf
INTERPRO	2	3.333333333	0.015107491	172116, 175603	46	5	14805	128.7391304	0.908368039	0.19765634	0.191361552	PZ	SMC
INTERPRO	2	3.333333333	0.015107491	172116, 175603	46	5	14805	128.7391304	0.908368039	0.19765634	0.191361552	PZ	SMC_hinge
INTERPRO	2	3.333333333	0.018102097	172116, 175603	46	6	14805	107.2826087	0.94319138	0.218617627	0.211655283	PZ	SMC_hinge_sf
INTERPRO	3	5	0.024569474	171941, 178054, 175117	46	80	14805	12.06929348	0.979870834	0.257160498	0.248970673	PZ	Helicase_ATP-bd
INTERPRO	3	5	0.024569474	171941, 178054, 175117	46	80	14805	12.06929348	0.979870834	0.257160498	0.248970673	PZ	Helicase_C
INTERPRO	2	3.333333333	0.027032596	172116, 175603	46	9	14805	71.52173913	0.986465828	0.265257347	0.256809661	PZ	RecF/RecN/SMC_N
INTERPRO	2	3.333333333	0.067669047	172647, 172088	46	23	14805	27.98676749	0.999983308	0.624943554	0.605040893	PZ	AGC-kinase_C
INTERPRO	2	3.333333333	0.087360173	171978, 172277	46	30	14805	21.45652174	0.999999415	0.76197484	0.737708126	PZ	Znf-RING_euk
INTERPRO	4	4.210526316	1.07E-05	174318, 176928, 174421, 175588	88	8	14805	84.11931818	0.003411281	0.00102077	9.92E-04	PZM	Chaperonin_TCP-1_CS
INTERPRO	9	9.473684211	1.29E-05	177770, 190051, 180685, 176434, 173156, 177455, 175376, 172890, 177486	88	185	14805	8.18458231	0.004082247	0.00102077	9.92E-04	PZM	ARM-type_fold
INTERPRO	4	4.210526316	1.60E-05	174318, 176928, 174421, 175588	88	9	14805	74.77272727	0.005090889	0.00102077	9.92E-04	PZM	TCP-1-like_intermed_sf
INTERPRO	4	4.210526316	1.60E-05	174318, 176928, 174421, 175588	88	9	14805	74.77272727	0.005090889	0.00102077	9.92E-04	PZM	GROEL-like_equatorial_sf
INTERPRO	4	4.210526316	1.60E-05	174318, 176928, 174421, 175588	88	9	14805	74.77272727	0.005090889	0.00102077	9.92E-04	PZM	Chaperone_TCP-1
INTERPRO	4	4.210526316	2.28E-05	174318, 176928, 174421, 175588	88	10	14805	67.29545455	0.007234016	0.001037175	0.001007821	PZM	GroEL-like_apical_dom_sf
INTERPRO	4	4.210526316	2.28E-05	174318, 176928, 174421, 175588	88	10	14805	67.29545455	0.007234016	0.001037175	0.001007821	PZM	Cpn60/GroEL/TCP-1
INTERPRO	7	7.368421053	1.06E-04	177770, 190051, 180685, 177455, 175376, 172890, 177486	88	128	14805	9.200550426	0.033079275	0.004204623	0.004085625	PZM	ARM-like
INTERPRO	3	3.157894737	2.03E-04	183841, 177625, 173141	88	4	14805	126.1789773	0.062598021	0.007181835	0.006978575	PZM	Prefoldin_subunit_alpha
INTERPRO	6	6.315789474	4.14E-04	175205, 178979, 176434, 176766, 176210, 176000	88	107	14805	9.433942226	0.123495096	0.013178566	0.012805588	PZM	TPR-like_helical_dom_sf
INTERPRO	7	7.368421053	5.23E-04	172226, 177770, 172802, 172406, 172813, 177779, 177003	88	172	14805	6.846921247	0.153226357	0.015116216	0.014688399	PZM	WD40/YVTN_repeat-like_dom_sf
INTERPRO	3	3.157894737	7.03E-04	183841, 177625, 173141	88	7	14805	72.10227273	0.200462384	0.018636918	0.018109458	PZM	Prefoldin
INTERPRO	6	6.315789474	0.00200707	172226, 177770, 172802, 172406, 177779, 172561	88	152	14805	6.640998804	0.472121738	0.049096017	0.047706507	PZM	WD40_repeat_dom_sf
INTERPRO	4	4.210526316	0.012845234	175656, 186907, 187322, 177486	88	83	14805	8.10788609	0.98361266	0.29177031	0.28351266	PZM	Ankyrin_rpt
INTERPRO	3	3.157894737	0.014212556	177250, 174116, 175544	88	31	14805	16.28115836	0.989454098	0.298605007	0.290153922	PZM	6-blade_b-propeller_TolB-like
INTERPRO	4	4.210526316	0.015024151	175656, 186907, 187322, 177486	88	88	14805	7.647210744	0.991884131	0.298605007	0.290153922	PZM	Ankyrin_rpt-contain_sf
INTERPRO	2	2.105263158	0.017526963	172406, 177003	88	3	14805	112.1590909	0.996386204	0.309643017	0.300879535	PZM	Cleavage/polyA-sp_fac_asu_C
INTERPRO	2	2.105263158	0.017526963	172406, 177003	88	3	14805	112.1590909	0.996386204	0.309643017	0.300879535	PZM	Cleavage/polyA-sp_fac_asu_N
INTERPRO	2	2.105263158	0.023301531	171954, 175852	88	4	14805	84.11931818	0.999445577	0.389994047	0.37895648	PZM	Nucleoporin_FG_rpt
INTERPRO	2	2.105263158	0.051674918	174825, 175711	88	9	14805	37.38636364	0.999999953	0.821631204	0.798377491	PZM	HATPase_C_sf
INTERPRO	3	3.157894737	0.06536536	179424, 174055, 172890	88	71	14805	7.108674776	1	0.989818311	0.961804585	PZM	PH_domain
INTERPRO	7	7.368421053	0.081810787	185438, 178540, 176559, 173233, 177896, 187322, 175353	88	514	14805	2.291187655	1	1	0.974763407	PZM	P-loop_NTPase
INTERPRO	2	4.87804878	0.009086566	171866, 191736	28	5	14805	211.5	0.54388788	0.574796748	0.574796748	Z	Nuclear_transport_factor_2_euk
INTERPRO	5	12.19512195	0.013367366	176560, 191608, 172324, 174974, 174463	28	514	14805	5.14348249	0.685680778	0.574796748	0.574796748	Z	P-loop_NTPase
INTERPRO	2	4.87804878	0.041144446	171866, 191736	28	23	14805	45.97826087	0.973036629	0.737808442	0.737808442	Z	NTF2-like_dom_sf
INTERPRO	2	4.87804878	0.04289584	172324, 174974	28	24	14805	44.0625	0.976959519	0.737808442	0.737808442	Z	AAA_lid_3
INTERPRO	2	4.87804878	0.04289584	172324, 174974	28	24	14805	44.0625	0.976959519	0.737808442	0.737808442	Z	ATPase_AAA_CS
INTERPRO	2	4.87804878	0.070502681	172324, 174974	28	40	14805	26.4375	0.99814074	1	1	Z	ATPase_AAA_core
INTERPRO	4	26.66666667	5.45E-07	179288, 179287, 179286, 179289	15	18	14805	219.3333333	4.30E-05	2.15E-05	2.15E-05	ZM	A-crystallin/Hsp20_dom
