Category	Term	Count	%	PValue	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	type
UP_SEQ_FEATURE	REGION:Disordered	59	62.10526316	1.06E-06	79	7614	16078	1.577044951	2.35E-04	2.35E-04	2.26E-04	PZM
UP_SEQ_FEATURE	COMPBIAS:Basic and acidic residues	29	30.52631579	3.76E-04	79	3079	16078	1.916872567	0.080154885	0.041767128	0.040262006	PZM
UP_SEQ_FEATURE	COMPBIAS:Polar residues	31	32.63157895	0.001774272	79	3731	16078	1.690991318	0.325806601	0.13129614	0.126564748	PZM
UP_SEQ_FEATURE	REPEAT:ANK	4	4.210526316	0.004210326	79	67	16078	12.1503873	0.608067508	0.179070085	0.172617109	PZM
UP_SEQ_FEATURE	COMPBIAS:Acidic residues	9	9.473684211	0.00580719	79	562	16078	3.259200865	0.725541205	0.179070085	0.172617109	PZM
UP_SEQ_FEATURE	REPEAT:17	2	2.105263158	0.009679464	79	2	16078	203.5189873	0.884595096	0.179070085	0.172617109	PZM
UP_SEQ_FEATURE	DOMAIN:Cleavage/polyadenylation specificity factor A subunit C-terminal	2	2.105263158	0.009679464	79	2	16078	203.5189873	0.884595096	0.179070085	0.172617109	PZM
UP_SEQ_FEATURE	REPEAT:13	2	2.105263158	0.009679464	79	2	16078	203.5189873	0.884595096	0.179070085	0.172617109	PZM
UP_SEQ_FEATURE	REPEAT:16	2	2.105263158	0.009679464	79	2	16078	203.5189873	0.884595096	0.179070085	0.172617109	PZM
UP_SEQ_FEATURE	DOMAIN:Cleavage/polyadenylation specificity factor A subunit N-terminal	2	2.105263158	0.009679464	79	2	16078	203.5189873	0.884595096	0.179070085	0.172617109	PZM
UP_SEQ_FEATURE	REPEAT:14	2	2.105263158	0.009679464	79	2	16078	203.5189873	0.884595096	0.179070085	0.172617109	PZM
UP_SEQ_FEATURE	REPEAT:15	2	2.105263158	0.009679464	79	2	16078	203.5189873	0.884595096	0.179070085	0.172617109	PZM
UP_SEQ_FEATURE	REPEAT:WD 6	3	3.157894737	0.015330792	79	39	16078	15.65530672	0.967606393	0.247943088	0.239008202	PZM
UP_SEQ_FEATURE	REPEAT:TPR 10	2	2.105263158	0.019266426	79	4	16078	101.7594937	0.986685294	0.247943088	0.239008202	PZM
UP_SEQ_FEATURE	REPEAT:11	2	2.105263158	0.019266426	79	4	16078	101.7594937	0.986685294	0.247943088	0.239008202	PZM
UP_SEQ_FEATURE	REPEAT:10	2	2.105263158	0.019266426	79	4	16078	101.7594937	0.986685294	0.247943088	0.239008202	PZM
UP_SEQ_FEATURE	REPEAT:12	2	2.105263158	0.019266426	79	4	16078	101.7594937	0.986685294	0.247943088	0.239008202	PZM
UP_SEQ_FEATURE	REPEAT:WD 5	3	3.157894737	0.020103494	79	45	16078	13.56793249	0.988984443	0.247943088	0.239008202	PZM
UP_SEQ_FEATURE	REPEAT:8	2	2.105263158	0.024025491	79	5	16078	81.40759494	0.995477888	0.253983765	0.244831197	PZM
UP_SEQ_FEATURE	REPEAT:9	2	2.105263158	0.024025491	79	5	16078	81.40759494	0.995477888	0.253983765	0.244831197	PZM
UP_SEQ_FEATURE	REPEAT:TPR 9	2	2.105263158	0.024025491	79	5	16078	81.40759494	0.995477888	0.253983765	0.244831197	PZM
UP_SEQ_FEATURE	REPEAT:WD 4	3	3.157894737	0.028258203	79	54	16078	11.30661041	0.998276957	0.266046259	0.256459007	PZM
UP_SEQ_FEATURE	REPEAT:7	2	2.105263158	0.028761758	79	6	16078	67.83966245	0.998464245	0.266046259	0.256459007	PZM
UP_SEQ_FEATURE	REPEAT:TPR 8	2	2.105263158	0.028761758	79	6	16078	67.83966245	0.998464245	0.266046259	0.256459007	PZM
UP_SEQ_FEATURE	REPEAT:WD 3	3	3.157894737	0.030222839	79	56	16078	10.90280289	0.998900555	0.268378812	0.258707503	PZM
UP_SEQ_FEATURE	REPEAT:WD 1	3	3.157894737	0.036428982	79	62	16078	9.847692936	0.999735645	0.285624492	0.275331718	PZM
UP_SEQ_FEATURE	REPEAT:WD 2	3	3.157894737	0.036428982	79	62	16078	9.847692936	0.999735645	0.285624492	0.275331718	PZM
UP_SEQ_FEATURE	REPEAT:6	2	2.105263158	0.038166325	79	8	16078	50.87974684	0.99982291	0.285624492	0.275331718	PZM
UP_SEQ_FEATURE	REPEAT:5	2	2.105263158	0.038166325	79	8	16078	50.87974684	0.99982291	0.285624492	0.275331718	PZM
UP_SEQ_FEATURE	DOMAIN:PH	3	3.157894737	0.038597904	79	64	16078	9.539952532	0.999839703	0.285624492	0.275331718	PZM
UP_SEQ_FEATURE	REPEAT:3	2	2.105263158	0.047480983	79	10	16078	40.70379747	0.999979585	0.329399317	0.317529072	PZM
UP_SEQ_FEATURE	REPEAT:4	2	2.105263158	0.047480983	79	10	16078	40.70379747	0.999979585	0.329399317	0.317529072	PZM
UP_SEQ_FEATURE	REPEAT:TPR 7	2	2.105263158	0.052104861	79	11	16078	37.00345224	0.999993069	0.350523613	0.337892131	PZM
UP_SEQ_FEATURE	REPEAT:TPR 6	2	2.105263158	0.070379826	79	15	16078	27.13586498	0.999999908	0.459538863	0.442978904	PZM
UP_SEQ_FEATURE	REPEAT:TPR 5	2	2.105263158	0.079386433	79	17	16078	23.94341028	0.999999989	0.489903636	0.472249451	PZM
UP_SEQ_FEATURE	REPEAT:TPR 4	2	2.105263158	0.083857379	79	18	16078	22.61322082	0.999999996	0.489903636	0.472249451	PZM
UP_SEQ_FEATURE	REPEAT:2	2	2.105263158	0.083857379	79	18	16078	22.61322082	0.999999996	0.489903636	0.472249451	PZM
UP_SEQ_FEATURE	REPEAT:1	2	2.105263158	0.083857379	79	18	16078	22.61322082	0.999999996	0.489903636	0.472249451	PZM
UP_SEQ_FEATURE	DOMAIN:PCI	2	2.105263158	0.088306889	79	19	16078	21.4230513	0.999999999	0.502669982	0.484555749	PZM
UP_SEQ_FEATURE	COMPBIAS:Polar residues	17	41.46341463	0.003937357	37	3731	16078	1.979948858	0.191873715	0.212617262	0.212617262	Z
UP_SEQ_FEATURE	DOMAIN:NTF2	2	4.87804878	0.01114678	37	5	16078	173.8162162	0.45409266	0.27449504	0.27449504	Z
UP_SEQ_FEATURE	REGION:Disordered	25	60.97560976	0.015249724	37	7614	16078	1.426781391	0.563875992	0.27449504	0.27449504	Z
UP_SEQ_FEATURE	DOMAIN:sHSP	4	26.66666667	1.78E-08	13	8	16078	618.3846154	7.46E-07	7.46E-07	7.46E-07	ZM
UP_SEQ_FEATURE	DOMAIN:SHSP	2	13.33333333	0.009662958	13	13	16078	190.2721893	0.334899946	0.202922121	0.202922121	ZM
